"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment";"Comm/Swap";"Stop Loss price level";"Profit/Loss";"Profit/Loss Pips";"Balance";"Profit Target price level"
"5570";"USATECHIDXUSD_ftmo";"Buy";"2025.01.07 17:00:00";"21474.86";"1.03";"2025.01.07 17:38:00";"21281.59";"-199,07";"101849,88";"IST";"SL";"-199,07";"1,44";"38m 0s";"";"-0,00";"21281,58984";"-199,07";"-193,27";"101849,88";"21689,60938"
"5574";"USATECHIDXUSD_ftmo";"Buy";"2025.01.10 14:05:00";"21132.41";"1.05";"2025.01.10 15:30:00";"20942.22";"-199,70";"101650,18";"IST";"SL";"-199,70";"16,46";"1h 25m";"";"-0,00";"20942,22070";"-199,70";"-190,19";"101650,18";"21343,73047"
"5613";"USATECHIDXUSD_ftmo";"Buy";"2025.01.14 17:51:00";"20781.86";"1.06";"2025.01.15 15:30:00";"20989.68";"216,72";"101866,89";"IST";"PT";"-177,08";"220,29";"21h 39m";"";"-3,57";"20594,82031";"216,72";"207,82";"101866,89";"20989,67969"
"5684";"USATECHIDXUSD_ftmo";"Buy";"2025.01.16 22:59:00";"21098.40";"1.05";"2025.01.17 15:31:00";"21309.38";"217,94";"102084,83";"IST";"PT";"-73,83";"221,53";"16h 32m";"";"-3,59";"20908,50977";"217,94";"210,98";"102084,83";"21309,38086"
"5756";"USATECHIDXUSD_ftmo";"Buy";"2025.01.21 02:58:00";"21339.49";"1.04";"2025.01.21 11:59:00";"21552.88";"221,93";"102306,76";"IST";"PT";"-114,28";"221,93";"9h 1m";"";"-0,00";"21147,42969";"221,93";"213,39";"102306,76";"21552,88086"
"5769";"USATECHIDXUSD_ftmo";"Buy";"2025.01.21 16:40:00";"21461.36";"1.03";"2025.01.22 02:31:00";"21675.97";"217,46";"102524,22";"IST";"PT";"-86,29";"221,05";"9h 51m";"";"-3,59";"21268,21094";"217,46";"214,61";"102524,22";"21675,97070"
"5852";"USATECHIDXUSD_ftmo";"Buy";"2025.01.23 11:15:00";"21717.41";"1.02";"2025.01.24 16:49:00";"21934.58";"217,92";"102742,13";"IST";"PT";"-11,20";"221,51";"1d 5h 34m";"";"-3,59";"21521,94922";"217,92";"217,17";"102742,13";"21934,58008"
"5859";"USATECHIDXUSD_ftmo";"Buy";"2025.01.24 19:53:00";"21824.07";"1.01";"2025.01.24 21:00:00";"21730.58";"-94,42";"102647,71";"IST";"End Of Friday (Time)";"-98,52";"1,53";"1h 7m";"";"-0,00";"21627,65039";"-94,42";"-93,49";"102647,71";"22042,31055"
"5929";"USATECHIDXUSD_ftmo";"Buy";"2025.01.29 20:01:00";"21337.64";"1.04";"2025.01.30 04:20:00";"21551.02";"218,32";"102866,02";"IST";"PT";"-94,41";"221,92";"8h 19m";"";"-3,60";"21145,59961";"218,32";"213,38";"102866,02";"21551,01953"
"5954";"USATECHIDXUSD_ftmo";"Buy";"2025.01.30 14:20:00";"21456.83";"1.03";"2025.01.31 04:01:00";"21671.40";"217,42";"103083,45";"IST";"PT";"-160,00";"221,01";"13h 41m";"";"-3,59";"21263,72070";"217,42";"214,57";"103083,45";"21671,40039"
